date,lat,long,elev,tmin,tmax
2018-06-16,7.75,-77.25,8,23.9,30.9
2018-06-17,7.75,-77.25,8,24.5,28.4
2018-06-18,7.75,-77.25,8,24.0,30.7
2018-06-19,7.75,-77.25,8,22.6,31.0
2018-06-20,7.75,-77.25,8,22.0,30.9
2018-06-21,7.75,-77.25,8,22.6,30.1
2018-06-22,7.75,-77.25,8,23.8,31.7
2018-06-23,7.75,-77.25,8,23.9,31.8
2018-06-24,7.75,-77.25,8,22.2,31.1
2018-06-25,7.75,-77.25,8,22.4,30.6
2018-06-26,7.75,-77.25,8,22.2,32.4
2018-06-27,7.75,-77.25,8,22.4,31.9
2018-06-28,7.75,-77.25,8,22.2,31.3
2018-06-29,7.75,-77.25,8,21.7,31.2
2018-06-30,7.75,-77.25,8,22.2,31.3
2018-07-01,7.75,-77.25,8,22.9,31.4
2018-07-02,7.75,-77.25,8,22.4,31.1
2018-07-03,7.75,-77.25,8,22.2,31.0
2018-07-04,7.75,-77.25,8,23.0,33.0
2018-07-05,7.75,-77.25,8,22.7,31.6
2018-07-06,7.75,-77.25,8,22.5,31.4
2018-07-07,7.75,-77.25,8,22.7,32.1
2018-07-08,7.75,-77.25,8,23.2,32.1
2018-07-09,7.75,-77.25,8,25.3,31.6
2018-07-10,7.75,-77.25,8,23.9,32.6
2018-07-11,7.75,-77.25,8,22.2,32.3
2018-07-12,7.75,-77.25,8,22.8,31.9
2018-07-13,7.75,-77.25,8,23.2,28.7
2018-07-14,7.75,-77.25,8,23.4,31.1
2018-07-15,7.75,-77.25,8,23.8,30.5
2018-07-16,7.75,-77.25,8,23.6,31.6
2018-07-17,7.75,-77.25,8,23.7,33.0
2018-07-18,7.75,-77.25,8,21.7,32.5
2018-07-19,7.75,-77.25,8,24.1,30.5
2018-07-20,7.75,-77.25,8,24.2,28.9
2018-07-21,7.75,-77.25,8,21.7,34.3
2018-07-22,7.75,-77.25,8,22.2,30.2
2018-07-23,7.75,-77.25,8,23.9,30.4
2018-07-24,7.75,-77.25,8,23.3,29.8
2018-07-25,7.75,-77.25,8,22.8,29.0
2018-07-26,7.75,-77.25,8,23.4,27.7
2018-07-27,7.75,-77.25,8,23.0,29.8
2018-07-28,7.75,-77.25,8,22.8,30.4
2018-07-29,7.75,-77.25,8,22.7,30.1
2018-07-30,7.75,-77.25,8,23.4,30.8
2018-07-31,7.75,-77.25,8,22.7,32.1
2018-08-01,7.75,-77.25,8,22.8,32.1
2018-08-02,7.75,-77.25,8,21.8,30.9
2018-08-03,7.75,-77.25,8,22.5,31.4
2018-08-04,7.75,-77.25,8,22.6,30.5
2018-08-05,7.75,-77.25,8,22.5,28.2
2018-08-06,7.75,-77.25,8,22.0,32.3
2018-08-07,7.75,-77.25,8,27.4,31.7
2018-08-08,7.75,-77.25,8,24.6,32.2
2018-08-09,7.75,-77.25,8,23.3,31.0
2018-08-10,7.75,-77.25,8,23.6,30.6
2018-08-11,7.75,-77.25,8,18.8,32.1
2018-08-12,7.75,-77.25,8,24.0,30.8
2018-08-13,7.75,-77.25,8,23.7,29.9
2018-08-14,7.75,-77.25,8,22.6,28.4
2018-08-15,7.75,-77.25,8,29.7,30.9
2018-08-16,7.75,-77.25,8,24.6,31.2
2018-08-17,7.75,-77.25,8,23.7,31.4
2018-08-18,7.75,-77.25,8,24.0,30.9
2018-08-19,7.75,-77.25,8,21.5,28.7
2018-08-20,7.75,-77.25,8,22.5,32.1
2018-08-21,7.75,-77.25,8,24.1,31.8
2018-08-22,7.75,-77.25,8,25.9,30.8
