Este		Norte
952292.353    1696868.964
952280.114    1697028.072
952304.592    1697897.044
952243.397    1698349.889
952188.321    1698508.997
952127.126    1698521.236
952127.126    1698631.387
952029.214    1698919.005
952023.094    1698937.364
952035.333    1698955.722
952053.692    1698998.559
952047.572    1699212.742
952102.648    1699457.523
952121.007    1699745.141
952157.724    1699836.934
952163.843    1699934.846
952365.788    1700332.615
952414.744    1700344.854
952592.21     1700467.245
953191.923    1701054.719
953326.553    1701238.305
953565.214    1701323.978
953742.681    1701428.01
953907.908    1701574.879
954109.852    1701929.811
954103.733    1702009.365
954158.808    1702327.58
954134.33     1702774.306
953950.744    1703239.39
953944.625    1703471.932
954048.657    1703643.278
954434.187    1704034.928
954421.948    1704212.394
